"Total.Cup.Points","altitude_mean_meters_adj","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Caturra","variety_adj_Typica","Non_Tropical","mean_temp"
82.17,1750,0,0,0,1,"Caturra",0,1,0,0,9.6065
84.75,1800,0,0,0,1,"Other",0,0,0,0,9.57066666666667
81.83,700,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
82.92,1450,0,0,0,1,"Other",0,0,0,0,9.6065
81.42,1400,0,0,0,1,"Other",0,0,0,0,9.831
78.67,1850,0,0,0,1,"Typica",0,0,1,1,9.6065
87.92,1943,0,0,0,1,"Other",0,0,0,1,9.57066666666667
80.58,1400,0,0,0,1,"Other",0,0,0,0,9.57066666666667
80,800,0,0,0,1,"Other",0,0,0,0,9.50733333333333
82.83,1800,0,0,0,0,"Typica",0,0,1,0,9.6065
84,520.257024,0,0,0,1,"Caturra",0,1,0,0,9.831
82.67,1296,0,0,0,0,"Typica",0,0,1,1,9.57066666666667
67.92,350,0,0,0,0,"Typica",0,0,1,0,9.50733333333333
80.17,1400,0,0,0,1,"Other",0,0,0,0,9.831
84,1550,0,0,0,0,"Other",0,0,0,0,9.6065
82.42,1300,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
83.08,1300,0,0,0,1,"Other",0,0,0,0,9.57066666666667
80,3845,0,0,0,1,"Other",0,0,0,0,9.831
84.33,1700,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.5,1679,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
80.25,700,0,0,1,0,"Typica",0,0,1,1,9.57066666666667
83,1750,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
83.17,1775,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
82.33,200,0,0,1,0,"Typica",0,0,1,1,9.57066666666667
81.5,371.61216,0,0,0,1,"Other",0,0,0,0,9.57066666666667
82.75,1442,0,0,0,1,"Other",0,0,0,0,9.57066666666667
87.25,2019,0,0,0,1,"Other",0,0,0,1,9.57066666666667
82.08,1600,0,0,0,1,"Other",0,0,0,0,9.57066666666667
83.83,1300,0,0,0,0,"Other",0,0,0,1,9.50733333333333
84.25,371.61216,1,0,0,0,"Bourbon",1,0,0,0,9.57066666666667
83.58,1550,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
83.5,1650,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
81,800,0,0,0,1,"Other",0,0,0,0,9.50733333333333
84,1650,0,0,0,1,"Other",0,0,0,0,9.50733333333333
74.33,1140,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
83.92,1200,0,0,0,1,"Typica",0,0,1,1,9.831
81.08,260.128512,0,0,0,1,"Other",0,0,0,0,9.6065
81.08,1100,0,0,0,1,"Other",0,0,0,0,9.831
81.67,1400,0,0,0,0,"Caturra",0,1,0,0,9.57066666666667
82.33,600,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
84.25,1600,0,0,0,1,"Other",0,0,0,0,9.57066666666667
83.17,1200,0,0,0,1,"Other",0,0,0,1,9.831
84.08,1775,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
81.5,1200,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
85.33,1700,0,0,0,0,"Other",0,0,0,1,9.831
83,1775,0,0,0,1,"Caturra",0,1,0,0,9.6065
83,1500,0,0,0,1,"Bourbon",1,0,0,0,9.57066666666667
83.92,950,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
81.08,1300,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.33,1170,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
81.83,1556,0,0,0,1,"Other",0,0,0,0,9.57066666666667
84.17,1600,0,0,0,1,"Other",0,0,0,0,9.50733333333333
79.92,1300,0,0,0,1,"Bourbon",1,0,0,1,9.6065
86.17,1941,0,0,0,1,"Other",0,0,0,1,9.57066666666667
80.67,1550,0,0,0,1,"Bourbon",1,0,0,0,9.6065
82.92,1300,0,0,0,1,"Bourbon",1,0,0,1,9.831
82.92,1500,0,0,0,0,"Caturra",0,1,0,0,9.57066666666667
82.75,1100,0,0,0,0,"Other",0,0,0,1,9.831
77.17,1200,0,0,0,1,"Other",0,0,0,1,9.50733333333333
76.33,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.50733333333333
82.25,1170,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
83.58,1000,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
84.58,1750,0,0,0,1,"Caturra",0,1,0,0,9.6065
83.17,532,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.75,464.5152,0,0,0,1,"Other",0,0,0,0,9.57066666666667
84.67,1200,0,0,0,1,"Other",0,0,0,0,9.57066666666667
81.33,1400,0,0,0,1,"Other",0,0,0,0,9.57066666666667
81,1350,0,0,0,0,"Caturra",0,1,0,0,9.57066666666667
83.67,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.6065
87.25,1850,0,0,0,0,"Other",0,0,0,0,9.57066666666667
83.5,1400,0,0,0,1,"Other",0,0,0,1,9.50733333333333
81.25,750,0,0,0,0,"Other",0,0,0,0,9.6065
85.83,464.5152,0,0,0,1,"Bourbon",1,0,0,0,9.50733333333333
83.25,800,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
85.25,1550,0,0,0,0,"Caturra",0,1,0,0,9.57066666666667
