"Total.Cup.Points","altitude_mean_meters_adj","total_defects","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical"
72.92,1200,2,0,0,0,1,0,0,0,1,0,1
82.17,1144,10,0,0,0,1,0,0,0,1,0,1
79.75,1300,5,0,0,0,1,1,0,0,0,0,1
83.42,399.483072,0,0,0,0,1,1,0,0,0,0,0
83.5,1750,2,0,0,0,1,0,0,1,0,0,0
83.17,168,3,0,0,0,1,1,0,0,0,0,0
81,1100,0,0,0,1,0,0,0,0,1,0,1
82.17,1000,4,0,0,0,1,0,0,0,1,0,1
83.42,442,2,0,0,0,1,0,0,1,0,0,0
82.58,371.61216,2,0,0,0,1,1,0,0,0,0,0
83.67,1400,0,0,0,0,1,0,0,0,1,0,0
79.67,975,11,0,0,0,1,0,0,1,0,0,1
84.25,1200,0,0,0,0,0,0,0,0,0,0,0
80.08,150,0,0,0,0,1,0,0,0,1,0,1
81.08,1456,2,0,0,0,1,0,0,0,0,0,0
82.5,1650,2,0,0,1,0,0,0,0,1,0,1
88.25,1822.5,4,0,0,0,0,0,0,0,0,0,0
81.83,973,3,0,0,0,0,0,0,0,0,0,0
83.08,750,0,0,0,0,0,0,0,0,1,0,1
77.5,1300,3,0,0,0,1,0,0,0,1,0,1
83.17,250.5,1,0,0,0,1,0,0,0,0,0,0
80.92,1700,0,0,0,0,1,0,0,0,0,0,0
79,1350,12,0,0,0,1,0,0,0,0,0,0
81.08,260.128512,0,0,0,0,1,0,0,0,0,0,0
81.67,1500,0,0,0,0,1,0,0,0,0,0,0
84.92,800,0,0,0,1,0,0,0,0,1,0,1
80.75,1300,0,0,0,0,1,0,0,1,0,0,0
81.75,774,11,0,0,0,1,1,0,0,0,0,1
87.92,1872,0,0,0,0,1,0,0,0,0,0,1
80.42,600,0,0,0,0,1,0,0,0,1,0,1
82.33,1300,2,0,0,0,1,0,0,1,0,0,0
80.5,1250,3,0,0,1,0,0,0,0,0,1,0
82.75,1100,0,0,0,0,0,0,0,0,0,0,1
79.92,1100,0,0,0,0,1,1,0,0,0,0,1
82.67,1100,2,0,0,0,1,0,0,0,0,0,1
84.5,1500,4,0,0,0,1,0,0,0,1,0,1
81,1450,6,0,0,0,1,1,0,0,0,0,0
84,1200,2,0,0,0,1,0,0,0,0,0,0
81.42,418.06368,0,0,0,0,1,0,1,0,0,0,0
83.75,1650,2,0,0,0,1,0,0,0,0,0,1
82.92,1300,10,0,0,0,1,1,0,0,0,0,1
79.25,850,0,0,0,0,1,0,0,0,1,0,1
82.58,1750,0,0,0,0,1,0,0,1,0,0,0
84.25,1000,0,0,0,0,1,0,0,0,1,0,1
83.83,1850,0,0,0,0,1,0,0,1,0,0,0
81.67,1400,5,0,0,0,0,0,0,1,0,0,0
83.42,1500,2,0,0,0,1,0,0,1,0,0,0
83,1775,3,0,0,0,1,0,0,1,0,0,0
81.25,1700,2,0,0,0,1,0,0,0,0,0,0
80.58,1400,1,0,0,0,1,0,0,0,0,0,0
82.75,1500,15,1,0,0,0,0,0,0,0,0,0
85.33,1600,2,0,0,0,1,0,0,0,0,0,0
83.5,1650,2,0,0,0,1,0,0,1,0,0,0
82.92,2000,21,0,0,0,1,0,0,0,0,0,0
82.42,1000,1,0,0,1,0,0,1,0,0,0,0
74.83,1250,30,0,0,0,1,0,0,0,1,0,1
83.33,1200,3,0,0,0,1,0,1,0,0,0,0
80.75,1350,2,0,0,0,1,0,1,0,0,0,0
82.75,1100,4,0,0,0,1,0,1,0,0,0,0
83.58,1100,4,0,0,0,1,0,0,0,0,0,1
79.17,1550,6,0,0,0,1,0,1,0,0,0,0
71.08,800,28,0,0,0,1,0,0,0,0,0,1
82.17,1600,1,0,0,0,1,0,0,0,0,0,0
82.58,1750,3,0,0,0,1,0,0,1,0,0,0
81.5,1400,0,0,0,0,1,0,0,0,0,0,0
82.25,650,0,0,0,0,1,0,0,0,1,0,1
80.42,1550,20,0,0,0,1,0,0,1,0,0,1
81.33,1500,3,0,0,0,1,0,0,1,0,0,0
82.17,1700,1,0,0,0,1,0,0,0,0,0,0
81.33,1400,3,0,0,0,1,0,0,0,0,0,0
81.5,125,2,0,0,1,0,1,0,0,0,0,0
86,1650,0,0,0,0,1,0,0,0,0,0,0
78.75,1320,0,0,0,0,1,0,0,0,1,0,1
83.17,1450,1,0,0,0,1,0,1,0,0,0,0
82,1300,4,0,0,0,1,0,1,0,0,0,0
82.33,399.483072,7,0,0,0,1,1,0,0,0,0,0
84.5,1700,0,0,0,0,1,0,0,1,0,0,0
83,418.06368,2,0,0,0,1,1,0,0,0,0,0
81.83,1400,1,0,0,0,1,0,1,0,0,0,0
84.42,900,6,0,0,0,1,0,0,0,0,0,1
82.92,1600,0,0,0,0,1,0,0,0,0,0,0
81.75,1100,1,0,0,0,1,0,0,0,1,0,1
83.75,442,0,0,0,0,0,0,0,1,0,0,0
86.25,1800,1,0,0,0,1,0,0,0,0,0,0
82.75,1550,6,0,0,0,1,0,0,0,1,0,1
79.5,1050,6,0,0,0,0,0,0,1,0,0,0
82.17,1,1,0,0,0,0,0,0,0,0,1,0
81.92,1400,1,0,0,0,1,0,0,1,0,0,0
83.33,1200,2,0,0,0,1,0,0,1,0,0,1
78.92,1400,0,0,0,0,1,0,0,0,1,0,1
83.67,413.51143104,0,0,0,0,1,1,0,0,0,0,0
80.25,995,1,0,0,0,0,0,1,0,0,0,0
82.33,934,3,0,0,0,0,1,0,0,0,0,0
77.92,1248,3,0,0,0,1,0,0,0,1,0,1
85,1,7,0,0,0,1,0,0,0,0,0,0
70.75,1000,1,0,0,0,1,0,0,0,1,0,1
85.42,1950,5,0,0,0,1,0,0,0,0,0,0
82.67,950,0,0,0,0,1,0,0,0,1,0,1
83.67,1700,0,0,0,0,1,0,0,0,0,0,0
84.58,1550,0,0,0,0,1,0,0,1,0,0,0
82.25,1250,13,0,0,0,1,0,0,0,1,0,1
81.83,1900,5,0,1,0,0,0,1,0,0,0,0
79.5,700,1,0,0,0,0,0,0,0,1,0,1
83.67,1100,15,0,0,0,1,0,0,0,1,0,1
82.08,1040,2,0,0,0,0,0,0,0,0,0,0
82.5,1260,0,0,0,1,0,0,0,0,0,1,0
84.67,1000,0,0,0,0,1,0,0,0,1,0,1
84.25,335.10126528,1,0,0,0,1,0,0,1,0,0,0
82.83,371.61216,2,0,0,0,1,1,0,0,0,0,0
83.42,1330,0,0,0,0,1,1,0,0,0,0,0
83.83,399.483072,3,0,0,0,1,1,0,0,0,0,0
85.5,1680,4,0,0,0,0,0,0,1,0,0,0
82,1000,1,0,0,0,0,0,0,0,0,0,0
85.42,1900,18,0,0,0,1,0,0,0,0,0,0
82.17,1500,4,0,0,0,1,1,0,0,0,0,0
83,1200,0,0,0,0,1,0,0,0,1,0,1
84.5,399.483072,2,0,0,0,1,1,0,0,0,0,0
82.08,1250,11,0,0,0,1,0,0,0,1,0,1
81.42,110,0,0,0,0,1,0,0,0,1,0,1
83,1750,0,0,0,0,1,0,0,1,0,0,0
85,1580,5,0,0,0,1,0,0,0,0,0,0
83.5,1500,8,0,0,1,0,0,0,0,0,0,0
83.92,950,0,0,0,0,1,0,0,0,1,0,1
82.25,533,11,0,0,0,1,1,0,0,0,0,1
78.58,1300,1,0,0,0,1,0,0,0,1,0,1
85.75,1700,1,0,0,0,1,0,0,0,0,0,0
82.83,1900,0,0,0,0,1,1,0,0,0,0,0
83.83,2527,7,0,0,0,1,0,0,1,0,0,0
74,1200,27,0,0,0,1,0,0,0,1,0,1
82.67,1240,0,0,0,0,1,0,0,0,1,0,1
83.17,1750,0,0,0,0,1,0,0,1,0,0,0
83.75,700,10,0,0,0,0,0,0,1,0,0,1
78,1200,28,0,0,0,1,0,0,0,1,0,1
81.75,1600,4,0,0,0,1,0,0,0,0,0,0
85.25,1550,2,0,0,0,0,0,0,1,0,0,0
83,1625,4,0,0,0,1,0,0,1,0,0,0
83.92,900,42,0,0,0,1,0,0,0,1,0,1
82.92,1040,17,0,0,0,0,0,0,0,0,0,0
82.25,1180,0,0,0,0,1,0,0,0,0,0,0
82.25,1100,0,0,0,0,0,1,0,0,0,0,0
85,1900,2,0,0,0,1,0,1,0,0,0,0
83.25,175,1,0,0,0,1,0,0,1,0,0,0
82.67,1800,3,0,0,0,1,0,0,1,0,0,0
84.25,1620,7,0,0,0,1,0,0,0,0,0,0
84,1700,1,0,0,0,1,0,0,1,0,0,0
83,1200,3,0,0,0,1,0,1,0,0,0,0
82.25,900,3,0,0,0,1,0,0,0,1,0,1
83.33,1750,1,0,0,0,1,0,0,1,0,0,0
82.75,1500,2,0,0,0,1,0,0,0,0,0,1
71,1800,0,0,0,0,1,1,0,0,0,0,1
80.75,1200,2,0,0,0,1,0,0,0,1,0,1
81.17,1550,2,0,0,0,1,1,0,0,0,0,0
82,1600,1,0,0,0,1,0,0,1,0,0,0
82.75,48.12377472,0,0,0,0,1,1,0,0,0,0,0
82.08,1300,3,0,0,0,1,1,0,0,0,0,0
84.83,350,0,0,0,0,0,0,0,0,1,0,1
80.67,1350,1,0,0,1,0,0,0,0,0,0,0
81.5,371.61216,0,0,0,0,1,1,0,0,0,0,0
82.83,1500,4,0,0,0,1,1,0,0,0,0,0
82.08,1,1,0,0,0,0,0,0,0,0,1,0
83,894,5,0,0,0,0,1,0,0,0,0,0
84.33,1500,2,0,0,0,1,0,1,0,0,0,0
80.75,1680,5,1,0,0,0,0,0,1,0,0,0
81.58,399.483072,1,0,0,0,1,1,0,0,0,0,0
85.08,2560,0,0,0,0,0,0,0,1,0,0,0
82.83,1550,12,0,0,0,1,0,0,1,0,0,1
83.5,1400,0,0,0,0,1,0,0,1,0,0,0
75.17,1280,52,0,0,0,1,0,0,0,1,0,1
83.42,1700,3,0,0,0,1,1,0,0,0,0,0
83.42,1800,1,0,0,0,1,0,0,0,0,0,0
81.83,1250,10,0,0,1,0,0,0,0,1,0,1
84.25,442,3,0,0,0,0,0,0,1,0,0,0
81.67,1200,2,0,0,0,1,1,0,0,0,0,1
84.17,1700,2,0,0,0,1,0,0,1,0,0,0
82.92,350,31,0,0,0,0,0,0,1,0,0,1
79.33,1200,3,0,0,0,1,0,0,1,0,0,0
81.67,750,0,0,0,0,1,0,0,0,1,0,1
82.33,200,0,0,0,1,0,0,0,0,1,0,1
83,1500,2,0,0,0,1,1,0,0,0,0,0
83.17,399.483072,2,0,0,0,1,1,0,0,0,0,0
81.83,1550,0,0,0,0,1,0,0,0,1,0,1
79.83,1250,0,0,0,0,1,0,0,1,0,0,0
84,1650,0,0,0,0,1,0,0,0,0,0,0
82.75,1250,4,0,0,0,1,1,0,0,0,0,0
76,1350,7,0,0,0,0,0,0,0,0,0,0
81.75,1700,1,0,0,0,1,1,0,0,0,0,0
84.67,1750,0,0,0,0,1,0,0,1,0,0,0
81.83,1100,0,0,0,0,0,1,0,0,0,0,0
82.83,1775,3,0,0,0,1,0,0,1,0,0,0
84.25,2560,2,0,0,0,0,0,0,1,0,0,0
78.5,1400,14,0,0,0,1,0,0,0,1,0,1
82.75,1300,2,0,0,0,1,0,0,1,0,0,0
78.33,399.483072,5,0,0,0,1,1,0,0,0,0,0
79.25,1000,10,0,0,0,1,1,0,0,0,0,1
83.75,1750,3,0,0,0,1,0,0,1,0,0,0
84.25,1775,6,0,0,0,1,0,0,1,0,0,0
82.5,1775,4,0,0,0,1,0,0,1,0,0,0
82.42,1750,2,0,0,0,1,0,0,1,0,0,0
83.17,532,11,0,0,0,1,0,0,0,1,0,1
73.83,1250,19,0,0,0,1,0,0,0,1,0,1
83.67,1900,1,0,0,0,1,0,0,1,0,0,0
83.5,427.353984,15,0,0,0,1,1,0,0,0,0,0
83.42,1600,4,0,0,0,1,1,0,0,0,0,0
82.17,800,0,0,0,0,1,0,0,0,0,0,0
80.75,1450,1,0,0,0,0,0,1,0,0,0,0
82.33,399.483072,3,0,0,0,1,1,0,0,0,0,0
84.5,1680,1,0,0,0,1,0,0,0,0,0,1
82.75,1775,3,0,0,0,1,0,0,1,0,0,0
82.75,1700,4,0,0,0,1,1,0,0,0,0,0
80.92,900,0,0,0,0,1,0,0,0,1,0,1
84.17,1606.5,5,0,0,0,0,0,0,0,0,0,0
82.5,1100,5,0,0,0,1,0,0,0,1,0,1
81.58,1400,9,0,0,0,1,0,0,0,1,0,1
84.25,1400,1,0,0,0,0,0,0,0,0,0,1
82.67,934,3,0,0,0,0,1,0,0,0,0,0
79.17,1650,5,0,0,0,1,0,1,0,0,0,0
85.83,464.5152,3,0,0,0,1,1,0,0,0,0,0
86.92,1250,2,0,0,0,0,1,0,0,0,0,0
83.58,1000,0,1,0,0,0,0,0,0,1,0,1
