"Total.Cup.Points","altitude_mean_meters_adj","total_defects","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","mean_temp"
76.33,399.483072,8,0,0,0,1,1,0,0,0,0,0,9.50733333333333
81.08,1500,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
84.5,1700,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
84.17,1600,1,0,0,0,1,0,0,0,0,0,0,9.50733333333333
73.42,1350,17,0,0,0,1,0,0,0,0,0,0,9.57066666666667
83.75,700,10,0,0,0,0,0,0,1,0,0,1,9.50733333333333
79.83,1300,3,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.92,1200,3,0,0,0,1,0,0,0,1,0,1,9.831
81.5,125,2,0,0,1,0,1,0,0,0,0,0,9.50733333333333
84.67,1000,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
81.42,1100,1,0,0,0,1,0,0,0,1,0,1,9.50733333333333
80.83,1200,1,0,0,0,1,0,0,1,0,0,0,9.6065
81.58,1100,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
81.83,1400,1,0,0,0,1,0,1,0,0,0,0,9.831
82.67,1500,0,0,0,0,1,0,0,1,0,0,0,9.6065
81.5,1100,3,0,0,0,0,0,0,0,1,0,1,9.50733333333333
80.5,1450,1,0,0,0,1,0,0,0,1,0,1,9.50733333333333
76.42,1100,14,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83,1775,3,0,0,0,1,0,0,1,0,0,0,9.50733333333333
78,371.61216,3,0,0,0,1,0,0,0,0,0,0,9.57066666666667
80.92,1200,8,0,0,0,0,0,0,0,0,1,0,9.831
84.5,1100,2,0,0,0,1,0,0,0,0,0,1,9.6065
81.33,1200,6,1,0,0,0,0,0,0,0,1,0,9.831
78.58,800,0,0,0,0,1,0,0,0,1,0,1,9.6065
80.17,1187.5,2,0,0,0,1,0,0,1,0,0,0,9.831
83.08,1200,1,0,0,0,1,1,0,0,0,0,0,9.831
79.58,1250,11,0,0,0,1,0,0,0,1,0,1,9.50733333333333
85.08,1700,9,0,0,0,0,0,0,0,0,0,0,9.57066666666667
82.58,1750,3,0,0,0,1,0,0,1,0,0,0,9.6065
82.92,1500,2,0,0,0,0,0,0,1,0,0,0,9.57066666666667
83.17,800,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.5,1250,4,0,0,1,0,1,0,0,0,0,0,9.50733333333333
82.75,1550,6,0,0,0,1,0,0,0,1,0,1,9.6065
90.58,2075,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
83.17,1500,2,0,0,0,1,0,0,0,1,0,1,9.6065
84.17,1000,0,0,0,0,0,0,0,1,0,0,0,9.831
81.5,1400,0,0,0,0,1,0,0,0,0,0,0,9.50733333333333
81,1700,3,0,0,0,0,0,0,0,0,0,0,9.6065
86.83,1950,1,0,0,0,1,0,0,0,0,0,0,9.6065
81.92,1000,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
85.42,1900,18,0,0,0,1,0,0,0,0,0,0,9.831
83.83,525,1,0,0,0,1,0,0,0,1,0,1,9.57066666666667
82.83,399.483072,10,0,0,0,1,1,0,0,0,0,0,9.50733333333333
80.92,688,0,1,0,0,0,0,0,0,1,0,1,9.57066666666667
82.92,1400,5,0,0,0,1,0,0,0,1,0,1,9.50733333333333
