"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","mean_temp"
83.17,1775,"Colombia","2014","Caturra","Washed / Wet",4,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.57066666666667
83.17,1450,"Honduras","2013","Catuai","Natural / Dry",5,0,0,0,0,0,"Catuai",0,1,0,0,0,0,9.6065
83.17,464.5152,"Guatemala","2014","Catuai","Washed / Wet",1,0,0,0,0,1,"Catuai",0,1,0,0,0,0,9.57066666666667
83.17,1089,"Mexico","2012","Pacamara","Washed / Wet",10,0,0,0,0,1,"Other",0,0,0,0,0,1,9.50733333333333
83.17,1775,"Colombia","2012","Caturra","Washed / Wet",3,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.50733333333333
83.17,427.353984,"Guatemala","2012","Bourbon","Washed / Wet",10,0,0,0,0,1,"Bourbon",1,0,0,0,0,0,9.50733333333333
83.08,750,"Taiwan","2015","Typica","Natural / Dry",0,0,0,0,0,0,"Typica",0,0,0,1,0,1,9.831
83,1645,"Uganda","2015","Bourbon","Natural / Dry",8,5,0,0,0,0,"Bourbon",1,0,0,0,0,0,9.831
83,1550,"Vietnam","2014","Caturra","Other",0,0,1,0,0,0,"Caturra",0,0,1,0,0,0,9.57066666666667
83,260.128512,"United States (Puerto Rico)","2013","Other","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0,9.6065
83,1250,"Brazil","2014","Yellow Bourbon","Semi-washed / Semi-pulped",4,0,0,0,1,0,"Yellow Bourbon",0,0,0,0,1,0,9.57066666666667
83,1775,"Colombia","2013","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.6065
83,1000,"Colombia","2013","Caturra","Natural / Dry",2,0,0,0,0,0,"Caturra",0,0,1,0,0,0,9.6065
83,1200,"Mexico","2012","Bourbon","Washed / Wet",13,0,0,0,0,1,"Bourbon",1,0,0,0,0,1,9.50733333333333
83,1625,"Colombia","2012","Caturra","Washed / Wet",4,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.50733333333333
83,1750,"Colombia","2012","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.50733333333333
82.92,775,"Taiwan","2014","Typica","Natural / Dry",9,0,0,0,0,0,"Typica",0,0,0,1,0,1,9.57066666666667
82.92,1900,"Colombia","2013","Caturra","Washed / Wet",2,0,0,0,0,1,"Caturra",0,0,1,0,0,0,9.6065
