"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Caturra","variety_adj_Typica","Non_Tropical","mean_temp"
83.17,427.353984,"Guatemala","2012","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.50733333333333
83,1500,"Guatemala","2015","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.831
83,1750,"Colombia","2013","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.6065
83,1000,"Colombia","2013","Caturra","Natural / Dry",0,0,0,0,"Caturra",0,1,0,0,9.6065
83,1200,"Mexico","2012","Typica","Semi-washed / Semi-pulped",0,0,1,0,"Typica",0,0,1,1,9.50733333333333
83,1200,"Mexico","2012","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
83,1625,"Colombia","2012","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
83,418.06368,"Guatemala","2012","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.50733333333333
83,1775,"Colombia","2011","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.516
82.92,775,"Taiwan","2014","Typica","Natural / Dry",0,0,0,0,"Typica",0,0,1,1,9.57066666666667
82.92,1400,"Uganda","2013","SL14","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.6065
82.92,1500,"Guatemala","2014","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.57066666666667
82.92,520.257024,"Guatemala","2013","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.6065
82.92,1040,"Vietnam","2012","Other","Natural / Dry",0,0,0,0,"Other",0,0,0,0,9.50733333333333
82.83,1040,"Vietnam","2014","Other","Other",1,0,0,0,"Other",0,0,0,0,9.57066666666667
82.83,900,"Brazil","2015","Catuai","Natural / Dry",0,0,0,0,"Other",0,0,0,0,9.831
82.83,1380,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.75,1550,"Mexico","2013","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.6065
82.75,1775,"Colombia","2012","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
82.75,1100,"Panama","2012","Catuai","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.50733333333333
82.67,1300,"Laos","2015","Catimor","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.831
82.67,1550,"Tanzania, United Republic Of","2014","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.57066666666667
82.67,1650,"Uganda","2013","SL14","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.6065
82.67,1240,"Taiwan","2014","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.57066666666667
82.67,1500,"Thailand","2013","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.6065
82.67,1800,"Colombia","2012","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
82.58,1450,"Thailand","2014","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
82.58,1750,"Colombia","2012","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
82.58,1250,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.5,1600,"Tanzania, United Republic Of","2014","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,0,9.57066666666667
82.5,1600,"Mexico","2013","Other","Washed / Wet",0,0,0,1,"Other",0,0,0,1,9.6065
82.5,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.6065
82.5,399.483072,"Guatemala","2013","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,0,9.6065
82.42,1400,"Guatemala","2013","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.6065
82.42,1170,"Mexico","2013","Bourbon","Washed / Wet",0,0,0,1,"Bourbon",1,0,0,1,9.6065
82.42,1775,"Colombia","2013","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.6065
82.42,1560,"Mexico","2013","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.6065
82.42,1300,"Mexico","2012","Typica","Washed / Wet",0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.42,1170,"Mexico","2012","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,1,9.50733333333333
82.42,1350,"Mexico","2012","Pacamara","Washed / Wet",0,0,0,1,"Other",0,0,0,1,9.50733333333333
82.42,442,"Colombia","2012","Caturra","Natural / Dry",0,0,0,0,"Caturra",0,1,0,0,9.50733333333333
82.42,1750,"Colombia","2011","Caturra","Washed / Wet",0,0,0,1,"Caturra",0,1,0,0,9.516
