"Total.Cup.Points","altitude_mean_meters_adj","Country.of.Origin","Harvest.Year","Variety","Processing.Method","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical"
83,1200,"Mexico","2012","Typica","Semi-washed / Semi-pulped",7,0,0,0,1,0,"Typica",0,0,0,1,0,1
83,1200,"Mexico","2012","Bourbon","Washed / Wet",13,0,0,0,0,1,"Bourbon",1,0,0,0,0,1
82.92,890,"Brazil","2017 / 2018","Bourbon","Natural / Dry",0,0,0,0,0,0,"Bourbon",1,0,0,0,0,0
82.92,1200,"Philippines","2015","Other","Washed / Wet",1,0,0,0,0,1,"Other",0,0,0,0,0,0
82.92,1400,"Uganda","2013","SL14","Washed / Wet",4,0,0,0,0,1,"Other",0,0,0,0,0,0
82.92,1500,"Guatemala","2014","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
82.92,1500,"Guatemala","2014","Caturra","Natural / Dry",2,0,0,0,0,0,"Caturra",0,0,1,0,0,0
82.92,1750,"Colombia","2013","Caturra","Natural / Dry",0,0,0,0,0,0,"Caturra",0,0,1,0,0,0
82.92,1450,"Colombia","2013","Other","Washed / Wet",8,0,0,0,0,1,"Other",0,0,0,0,0,0
82.92,1248,"Mexico","2012","Typica","Natural / Dry",4,0,0,0,0,0,"Typica",0,0,0,1,0,1
82.83,1700,"Guatemala","2017","Bourbon","Washed / Wet",3,1,0,0,0,1,"Bourbon",1,0,0,0,0,0
82.83,1250,"El Salvador","2016","Pacas","Washed / Wet",4,0,0,0,0,1,"Other",0,0,0,0,0,0
82.83,900,"Brazil","2015","Catuai","Natural / Dry",8,0,0,0,0,0,"Catuai",0,1,0,0,0,0
82.83,1380,"Mexico","2012","Typica","Washed / Wet",2,0,0,0,0,1,"Typica",0,0,0,1,0,1
82.75,371.61216,"Guatemala","2017","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
82.75,371.61216,"Guatemala","2017","Bourbon","Washed / Wet",1,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
82.75,1442,"Malawi","2014","Gesha","Washed / Wet",0,0,0,0,0,1,"Other",0,0,0,0,0,0
82.75,464.5152,"Guatemala","2014","Pacas","Washed / Wet",2,0,0,0,0,1,"Other",0,0,0,0,0,0
82.67,890,"Brazil","2017 / 2018","Bourbon","Natural / Dry",4,0,0,0,0,0,"Bourbon",1,0,0,0,0,0
82.67,1,"Brazil","2015/2016","Yellow Bourbon","Natural / Dry",0,0,0,0,0,0,"Yellow Bourbon",0,0,0,0,1,0
82.67,1500,"Guatemala","2012","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0
82.58,1050,"Taiwan","2016","Typica","Pulped natural / honey",0,5,0,1,0,0,"Typica",0,0,0,1,0,1
82.58,1450,"Thailand","2014","Caturra","Washed / Wet",1,0,0,0,0,1,"Caturra",0,0,1,0,0,0
82.58,1300,"Costa Rica","2013","Catuai","Washed / Wet",3,0,0,0,0,1,"Catuai",0,1,0,0,0,0
82.5,1250,"Indonesia","2017","Other","Washed / Wet",5,0,0,0,0,1,"Other",0,0,0,0,0,0
82.42,48.12377472,"Guatemala","2017","Bourbon","Washed / Wet",0,0,0,0,0,1,"Bourbon",1,0,0,0,0,0
82.42,1400,"Guatemala","2013","Caturra","Washed / Wet",0,0,0,0,0,1,"Caturra",0,0,1,0,0,0
82.42,1260,"Brazil","2013/2014","Yellow Bourbon","Natural / Dry",0,0,0,0,0,0,"Yellow Bourbon",0,0,0,0,1,0
82.42,1170,"Mexico","2013","Bourbon","Washed / Wet",0,0,0,0,0,1,"Bourbon",1,0,0,0,0,1
82.42,1560,"Mexico","2013","Typica","Washed / Wet",5,0,0,0,0,1,"Typica",0,0,0,1,0,1
82.42,1400,"Mexico","2012","Typica","Semi-washed / Semi-pulped",2,0,0,0,1,0,"Typica",0,0,0,1,0,1
82.42,1300,"Mexico","2012","Typica","Washed / Wet",9,0,0,0,0,1,"Typica",0,0,0,1,0,1
82.42,1350,"Mexico","2012","Pacamara","Washed / Wet",6,0,0,0,0,1,"Other",0,0,0,0,0,1
82.42,1450,"Mexico","2012","Typica","Washed / Wet",0,0,0,0,0,1,"Typica",0,0,0,1,0,1
