"Total.Cup.Points","altitude_mean_meters_adj","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","mean_temp"
76,1350,7,0,0,0,0,0,0,0,0,0,0,0,9.57066666666667
85.33,1200,6,0,0,0,0,1,0,0,0,0,0,0,9.50733333333333
87.17,1300,2,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
83.58,1775,3,0,0,0,0,1,0,0,1,0,0,0,9.831
75.83,1000,2,0,0,0,0,1,0,0,0,0,0,0,9.50733333333333
82.08,13,2,0,0,0,0,1,0,0,1,0,0,0,9.6065
86.17,1941,0,0,0,0,0,1,0,0,0,0,0,1,9.57066666666667
83.67,1750,1,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
81.5,1000,6,0,0,0,1,0,0,0,0,1,0,1,9.50733333333333
82,1900,1,0,0,0,0,1,0,0,1,0,0,0,9.6065
78,371.61216,3,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
80.5,3800,2,0,0,0,0,1,0,0,0,0,0,0,9.831
83,1750,0,0,0,0,0,1,0,0,1,0,0,0,9.6065
82.83,1900,0,0,0,0,0,1,1,0,0,0,0,0,9.831
83.42,1600,4,0,0,0,0,1,1,0,0,0,0,0,9.57066666666667
84.67,1150,2,0,0,0,0,1,0,1,0,0,0,0,9.831
83,1775,2,0,0,0,0,1,0,0,1,0,0,0,9.6065
83,260.128512,0,0,0,0,0,1,0,0,0,0,0,0,9.6065
85.5,1900,3,0,0,0,0,0,0,0,0,0,0,0,9.57066666666667
84.67,1775,3,0,0,0,0,1,0,0,0,0,0,0,9.50733333333333
80.42,1700,14,0,0,0,0,1,0,0,0,0,0,1,9.6065
84.5,2000,0,0,0,0,0,1,0,0,0,0,0,0,9.50733333333333
83.92,900,42,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.17,995,12,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
84.17,1000,0,0,0,0,0,0,0,0,1,0,0,0,9.831
81.17,1200,10,0,0,0,0,1,0,0,1,0,0,1,9.831
79.17,1450,34,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
85.17,1400,7,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
79.83,1300,3,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.83,1040,11,0,1,0,0,0,0,0,0,0,0,0,9.57066666666667
81.08,1456,2,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.67,1200,0,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
83.83,800,0,0,0,0,0,0,0,0,0,0,0,0,9.6065
80.75,1680,5,0,1,0,0,0,0,0,1,0,0,0,9.57066666666667
84.58,1750,5,0,0,0,0,1,0,0,1,0,0,0,9.6065
77.17,1200,12,0,0,0,0,1,0,0,0,0,0,1,9.50733333333333
82.25,1500,0,0,0,0,0,1,1,0,0,0,0,0,9.57066666666667
82,940,1,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
84.25,1400,4,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
82.08,1040,2,0,0,0,0,0,0,0,0,0,0,0,9.50733333333333
82.17,1200,0,0,1,0,0,0,0,0,0,1,0,1,9.57066666666667
85.25,1550,2,0,0,0,0,0,0,0,1,0,0,0,9.57066666666667
84.33,1800,0,0,0,0,0,1,0,0,1,0,0,0,9.6065
79.08,1100,45,0,0,0,0,1,0,0,0,0,0,1,9.50733333333333
82.92,1600,0,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
80.25,4287,1,0,0,0,0,0,0,1,0,0,0,0,9.57066666666667
80.5,566.708544,2,0,0,0,0,1,1,0,0,0,0,0,9.6065
77.42,399.483072,17,0,0,0,0,1,1,0,0,0,0,0,9.6065
81.42,110,0,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
82.92,1200,1,0,0,0,0,1,0,0,0,0,0,0,9.831
85.58,1500,3,0,0,0,0,1,1,0,0,0,0,0,9.6065
78,1350,8,0,0,0,0,0,0,0,0,0,0,0,9.57066666666667
